Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Age Bucket
1,1,2,2,0,7.357556200910353,18,4,0
0,1,0,2,0,7.358193752733032,15,0,1
0,2,0,1,1,8.699181359308954,40,1,1
0,2,0,0,0,7.063903961472068,18,0,1
0,2,2,1,2,7.109062135687172,12,3,2
0,2,0,4,1,7.88570539124302,18,2,1
0,2,1,0,0,6.551080335043404,6,0,2
0,2,0,2,0,7.954372272531867,10,3,1
1,2,2,1,1,7.2196420401307355,9,0,0
0,1,1,0,0,9.111072370317514,36,1,1
0,1,2,1,1,7.594381242551817,24,0,0
0,2,0,1,1,7.980707820869669,24,3,3
0,2,0,2,2,7.871692664323645,18,4,1
0,2,0,0,0,8.748939631537715,36,4,2
0,3,0,1,0,8.40357646462927,36,0,1
0,2,0,0,0,8.910450756416656,36,4,2
0,2,0,0,0,6.57507584059962,24,3,2
0,2,0,0,1,7.701652362642226,20,2,2
0,2,0,1,1,7.347943823148687,18,2,2
1,3,1,1,2,9.470856776355195,18,3,2
0,2,0,1,0,7.56734567601324,12,0,1
1,2,0,3,1,8.361941906144946,33,2,0
0,2,2,1,1,7.872836175025724,16,3,2
1,1,0,4,1,6.501289670540389,6,3,2
1,2,0,2,0,8.15708378502887,24,3,0
0,3,0,1,2,8.562931083090092,30,3,1
1,2,0,1,0,7.231287004327616,6,0,1
1,3,0,1,0,8.116417072794205,36,2,1
0,2,0,3,0,7.10085190894405,15,0,2
1,1,0,2,2,6.728628613084702,12,3,0
0,1,0,1,1,7.161622002939187,12,2,0
1,1,2,1,0,7.1372784372603855,12,2,0
0,2,0,1,1,7.8328075165248645,30,0,2
0,2,0,1,0,6.98100574072173,12,4,1
1,1,0,0,0,8.251924713801357,36,0,2
0,3,1,1,0,7.316548177182976,18,0,1
1,2,2,1,1,7.785720896534624,30,2,0
0,2,0,4,2,7.321188556739478,15,6,3
0,3,1,1,1,8.970177815492379,12,2,2
0,0,0,1,2,8.185907481482324,18,4,2
0,2,1,3,1,8.116417072794205,24,2,1
0,2,1,0,1,8.924123891686012,18,3,2
0,2,1,1,1,8.61122983334262,36,3,2
0,2,0,1,0,7.575584651557793,18,4,1
1,2,0,1,3,7.717351272185329,12,3,2
1,2,0,1,0,7.92443418488756,33,4,1
0,3,0,2,2,7.5595594960077,30,0,1
0,2,0,1,0,7.180069874302796,9,2,0
0,3,2,1,2,8.846209127360996,36,3,1
1,2,2,1,1,7.156176637480615,12,2,0
0,2,1,1,0,7.616775808698373,24,3,2
0,3,0,1,0,7.5411524551363085,12,3,2
1,2,2,4,1,8.19478163844336,30,2,2
0,1,0,1,2,6.86484777797086,12,3,2
0,3,0,4,0,8.650149418664864,36,3,2
0,2,0,2,0,8.19450550976564,24,0,1
0,2,2,1,1,8.32117830749028,24,2,0
1,2,0,1,2,7.982757702011113,12,0,1
1,2,0,1,1,7.311886164077165,12,0,0
0,2,0,4,0,7.8547691834991324,24,0,1
0,3,0,0,1,7.213768308118642,24,7,2
0,2,0,1,2,7.728855823852543,36,1,1
0,1,0,1,2,8.046869510959576,12,3,2
1,2,2,1,2,7.99598047476376,12,2,0
1,3,0,0,3,7.261225091971921,12,2,2
0,3,0,1,0,7.8898337513942955,24,3,1
0,2,0,1,0,7.298445101508147,9,0,0
0,3,0,0,0,8.079927770758275,18,3,2
1,2,2,1,2,8.766550149546351,48,4,2
0,2,0,1,1,8.574140471857987,27,4,2
0,2,0,1,2,8.251142139090751,30,2,0
0,2,0,1,1,8.58876938990546,36,2,1
0,1,0,0,3,7.203405521083095,24,3,2
0,2,0,3,0,8.304494897963567,42,2,2
1,2,0,1,1,8.163086375583216,18,0,0
