COMPANYCODE,POSTINGDATE,VALUEDATE
13,20180309,20180309
13,20180223,20180223
13,20180223,20180223
13,20180223,20180223
13,20180227,20180227
13,20180227,20180227
13,20180228,20180228
13,20180228,20180228
13,20180228,20180228
13,20180228,20180228
13,20180228,20180228
13,20180301,20180301
13,20180301,20180301
13,20180301,20180301
13,20180302,20180302
13,20180302,20180302
13,20180312,20180312
13,20180313,20180313
13,20180316,20180316
13,20180316,20180316
13,20180316,20180316
13,20180319,20180319
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180321,20180321
13,20180322,20180322
13,20180323,20180323
13,20180323,20180323
13,20180314,20180314
13,20180301,20180301
13,20180302,20180302
13,20180306,20180306
13,20180308,20180308
13,20180315,20180315
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
13,20180320,20180320
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
800,20180221,20180221
13,20180329,20180329
13,20180329,20180329
13,20180329,20180329
13,20180329,20180329
13,20180326,20180326
800,20180221,20180221
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180222,20180222
800,20180223,20180223
800,20180223,20180223
800,20180222,20180222
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180222,20180222
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180227
800,20180223,20180227
800,20180223,20180227
800,20180223,20180223
800,20180223,20180223
800,20180222,20180222
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180223,20180223
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180223,20180223
800,20180226,20180226
800,20180223,20180223
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180223,20180223
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180226,20180226
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180226,20180226
800,20180226,20180226
800,20180226,20180226
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
800,20180227,20180227
